time_s,voltage_V,current_A,power_W,temperature_K,capacity_Ah,soc,energy_Wh,anode_potential_V
94.0,3.8755042695520734,115.04456140021813,445.855688895291,298.6818754780678,1.675461077547621,0.9291868189124519,6.596375753993015,0.17495730672170448
95.0,4.022730137692462,-23.16251963201409,-93.17656578859639,298.6863361589919,1.6879389764162254,0.9290318139575624,6.645094172935247,0.11173480734310465
96.0,4.004556613170681,-1.5714140850785325,-6.292816666430793,298.68590223307615,1.6845000148529847,0.9290745339769815,6.631278982378224,0.12150409325087967
97.0,4.0895806446688,-76.49917461736845,-312.8495438483288,298.6859836773648,1.673565345735973,0.9292103683759506,6.58682990025227,0.08576474169948847
98.0,4.025827113290193,-10.008227354162571,-40.29139303836025,298.68614901397984,1.661508632420972,0.9293601412121618,6.537782654932973,0.11559970273792956
99.0,4.070745951403876,-48.46018821544797,-197.26911498230467,298.68593494114293,1.653370719242802,0.9294612333013316,6.504788137852711,0.09645547798509682
100.0,3.960049448914651,59.77940675304575,236.72940676884357,298.68669466478644,1.6548088049141698,0.9294433688830538,6.510268976992958,0.14652233898439207
101.0,3.9410589255701187,77.09221668295571,303.8249686503482,298.69168474188143,1.673920936254706,0.929205951102426,6.585758149568367,0.15412397283540447
102.0,3.932990314265496,83.17250588103738,327.11666004331005,298.69817575686443,1.6961794501676937,0.9289294478240038,6.673389079020634,0.15687731968254964
103.0,3.9194312180209545,94.35769788465583,369.82850674970985,298.7059895938544,1.7208353360054571,0.9286231635278824,6.770188572323962,0.16206828973189225
104.0,3.9572877251761693,55.72742742851297,220.52946451850013,298.7118851053149,1.7413896904968307,0.9283678299317163,6.851120455358,0.144682880309694
105.0,3.969968837760195,43.75875290796296,173.72088542386126,298.71488968024454,1.7550704408719502,0.9281978827220876,6.905348623057669,0.13914619208325182
106.0,3.9623233464950043,51.45321138332329,203.8742607162844,298.71771542637657,1.7682937221406616,0.9280336183585011,6.957792533914231,0.14263459931983158
107.0,3.912875887046629,98.81770402541824,386.66141129436966,298.7238500336349,1.7892905051075056,0.9277727887564284,7.040404539056959,0.16416215149733468
