cycle,duration_s,duration_min,voltage_min_V,voltage_max_V,current_min_A,current_max_A,power_min_W,power_max_W,temperature_min_C,temperature_max_C,temperature_rise_C,data_points,energy_discharged_Wh,energy_regenerated_Wh,energy_net_Wh,capacity_used_Ah,soc_change_pct,regeneration_ratio_pct,cycle_label,cycle_duration_s,cycle_distance_km,is_aerial,initial_soc,min_soc,max_soc,available_capacity_Ah,usable_capacity_Ah,capacity_per_cycle_Ah,energy_per_cycle_Wh,cycles_possible,avg_speed_kmh,energy_per_km_Wh,capacity_per_km_Ah,range_km,range_miles,full_charge_range_km,full_charge_range_miles,drive_time_min,drive_time_hr,full_charge_drive_time_min,full_charge_drive_time_hr,pack_range_km,pack_full_charge_range_km
WLTP,3600.0,60.0,3.318299399470886,4.1105256244892745,-1.1756093513895331e-05,185.05083763122363,-4.814640543415992e-05,615.4895833332755,24.995194098929858,32.53244811363186,7.532448113631858,3601,97.580836723715,3.5850734228155626e-08,97.58083668786426,25.990102130311477,32.28584115566643,3.673952328330758e-08,WLTP,3600.0,23.266,False,0.95,0.1,0.95,68.425,68.425,25.990102130311477,97.58083668786426,2.6327330172434364,23.266,4.194138944720376,1.1170851083259468,61.253166379185785,38.060941246201054,61.253166379185785,38.060941246201054,157.96398103460618,2.6327330172434364,157.96398103460618,2.6327330172434364,245.01266551674314,245.01266551674314
Nurburgring,419.0,6.983333333333333,3.7591386884338274,4.174864689497795,-84.54334248072969,162.55473188668864,-341.19036663183266,615.4895833333326,25.0,27.7223138880168,2.7223138880167994,420,31.795655552205353,2.900882201096682,28.89477335110867,7.465606082561696,9.274044823058007,9.123517508024698,Nurburgring,419.0,20.8,False,0.95,0.1,0.95,68.425,68.425,7.465606082561696,28.89477335110867,9.165364371397576,178.7112171837709,1.3891717957263785,0.3589233693539277,190.6395789250696,118.45790579624942,190.6395789250696,118.45790579624942,64.0047945269264,1.0667465754487735,64.0047945269264,1.0667465754487735,762.5583157002784,762.5583157002784
