time_s,voltage_V,current_A,power_W,temperature_K,capacity_Ah,soc,energy_Wh,anode_potential_V,speed_m_s,speed_kmh
0.0,4.110525637179775,-1.2092774581547952e-10,-4.970765994208878e-10,298.15,7.250878773802333e-41,0.95,-4.439859406413395e-44,0.0920055989074138,0.0,0.0
1.0,4.110525637179649,-2.93891253578017e-22,-1.208047532375304e-21,298.15,-8.163763735951207e-26,0.95,4.9988372920751893e-29,0.09200559890747748,0.0,0.0
2.0,4.110525637179649,-3.7065607819331714e-24,-1.5235913119900946e-23,298.15,-8.266731080593671e-26,0.95,4.9484781740191917e-29,0.09200559890747748,0.0,0.0
3.0,4.110525637179649,0.0,0.0,298.15,-8.266731080593671e-26,0.95,4.948478174020207e-29,0.09200559890747748,0.0,0.0
4.0,4.110525637179649,0.0,0.0,298.15,-8.266731080593671e-26,0.95,4.948478174020219e-29,0.09200559890747748,0.0,0.0
5.0,4.110525637179649,0.0,0.0,298.15,-8.266731080593671e-26,0.95,4.948478174020219e-29,0.09200559890747748,0.0,0.0
6.0,4.110525637179649,0.0,0.0,298.15,-8.266731080593671e-26,0.95,4.948478174020219e-29,0.09200559890747748,0.0,0.0
7.0,4.110525637179649,0.0,0.0,298.15,-8.266731080593671e-26,0.95,4.948478174020219e-29,0.09200559890747748,0.0,0.0
8.0,4.110525637179649,0.0,0.0,298.15,-8.266731080593671e-26,0.95,4.948478174020219e-29,0.09200559890747748,0.0,0.0
9.0,4.110525637179649,0.0,0.0,298.15,-8.266731080593671e-26,0.95,4.948478174020219e-29,0.09200559890747748,0.0,0.0
10.0,4.110525637179649,0.0,0.0,298.15,-8.266731080593671e-26,0.95,4.948478174020219e-29,0.09200559890747748,0.0,0.0
11.0,4.110525637179649,0.0,0.0,298.15,-8.266731080593671e-26,0.95,4.948478174020219e-29,0.09200559890747748,0.0,0.0
12.0,4.11042996944151,0.08887876002522999,0.3653299188545054,298.1499985240662,1.3130439407777814e-05,0.9499998368889514,5.397214642731092e-05,0.0920526637990387,0.6183656629751563,2.2261163867105624
13.0,4.108633302039648,1.7561231164399256,7.215265918686728,298.1499707621314,0.00027055943770231186,0.9499966390131962,0.0011118041418751632,0.09293586729614675,10.225076908877647,36.81027687195953
14.0,4.103205873256795,6.722160629627693,27.58240897646394,298.14986176672693,0.0014478957848987593,0.9499820137169578,0.005944831190564201,0.09558004727093844,23.25003875330848,83.70013951191054
15.0,4.100342849275876,9.06566127918333,37.17231940005655,298.14968560289,0.0036405886174851543,0.9499547752966772,0.014938547759337936,0.09688531606736936,26.843361735251055,96.6361022469038
16.0,4.094489587204646,14.097512521680887,57.722118225509504,298.14948027455125,0.006857451854600237,0.9499148142626758,0.028118349376692005,0.09964022359677921,32.66792822392982,117.60454160614735
17.0,4.08457840752929,22.69572412410775,92.70246470057211,298.1493017799779,0.011971431847645889,0.9498512865608988,0.049029940820693535,0.1043146204486374,39.74846095267154,143.09445942961756
18.0,4.079294813467575,26.598466430781315,108.50298615727762,298.1492406901023,0.018824916102977957,0.949766150110522,0.07700474914335771,0.10659635497698915,42.313325332330336,152.32797119638923
19.0,4.0922412586391514,13.346432829383128,54.6168230800577,298.14912779731486,0.024371308377625096,0.9496972508276071,0.0996602258383104,0.09993046693455751,31.89883267389623,114.83579762602643
20.0,4.097603943638306,7.868101921021842,32.24036546052723,298.1489593986505,0.027317530252222763,0.949660651798109,0.1117237140408388,0.0972283078436702,25.09555540284752,90.34399945025108
21.0,4.100250407183209,5.190040784092509,21.28046683827277,298.1488272013804,0.029131104316825217,0.9496381229277413,0.11915715282268546,0.09592037059811462,20.33737403390569,73.21454652206049
22.0,4.097728768767064,7.444379575862414,30.50504835363337,298.14869741559704,0.030899979879998818,0.9496161493182609,0.12640754196028867,0.09716496881374298,24.43292777847134,87.95854000249682
23.0,4.098926682368199,6.127563127936505,25.116432002994483,298.1485628079644,0.032784955586493324,0.9495927334709752,0.1341327266084311,0.09653778248549745,22.17646248308714,79.8352649391137
24.0,4.08741251254398,16.713922287599242,68.31669509202085,298.1484071615053,0.03596430119703428,0.9495532384944467,0.14714298373177717,0.10215684536235259,35.08270501457363,126.29773805246506
25.0,4.090598122648717,13.106191731938246,53.61216329374072,298.14825199588563,0.04010589999051504,0.9495017900622296,0.1640775339816876,0.10040699654905061,31.64312344577476,113.91524440478914
26.0,4.079767867705237,22.767258231358205,92.88512856804277,298.14814388797896,0.045087444469290965,0.9494399075221206,0.18442452653805155,0.10560116815582705,39.77984638539474,143.20744698742106
27.0,4.0739845536990416,27.283271890683864,111.15162825701731,298.1481880674473,0.052063538083424975,0.9493532479741189,0.2128639098222169,0.10816794134481583,42.71654828889426,153.77957384001934
28.0,4.070306362593376,29.66399276550508,120.7415384933592,298.1483653832684,0.05997280691732357,0.9492549961873624,0.24507132895736725,0.10967006319536005,44.12143110547633,158.8371519797148
29.0,4.069720003051079,29.084775859552906,118.36689409987959,298.1486046016788,0.06813236914737943,0.949153635165871,0.27828082203017007,0.10966258300754447,43.78119700512152,157.61230921843747
30.0,4.077885066504703,20.40368671398995,83.20388935262004,298.1487149199157,0.07500517564250564,0.9490682586876706,0.3062765262719935,0.10543832404547857,38.05106029419887,136.98381705911592
31.0,4.081068412404415,16.829422611782046,68.68202501994831,298.1486809038924,0.08017635632011927,0.9490040204183836,0.3273717635215632,0.10378919436150784,35.16093009162912,126.57934832986483
32.0,4.082489653634888,15.07856646223745,61.55809157373041,298.14861131431473,0.08460799595223856,0.9489489689943821,0.3454606244334131,0.10303553827777308,33.57709765306281,120.87755155102612
33.0,4.0829920012032845,14.271427004727874,58.27012230606046,298.14853126818554,0.0886843720442474,0.948898330782059,0.36210338628949246,0.1027423178162257,32.80047367802208,118.08170524087949
34.0,4.087295235468055,9.966073840149432,40.734286123165596,298.14843729431703,0.0920504448188604,0.9488565162134303,0.37585351139761947,0.10060405303464984,28.000660424590702,100.80237752852653
35.0,4.092072877975478,5.423606405947941,22.19379267459363,298.14834306508857,0.09418773345206444,0.9488299660440737,0.3845934805124372,0.09829445929599384,20.79645253203404,74.86722911532254
36.0,4.098016629565565,0.0,0.0,298.14829889337705,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09546759111695424,0.0,0.0
37.0,4.098385327446332,7.060561323435614e-64,2.8936900931503574e-63,298.1482994179896,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.0954128039568784,0.0,0.0
38.0,4.098729381540778,-1.0793331492352683e-64,-4.423894491241532e-64,298.1482999424391,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09534155022441712,0.0,0.0
39.0,4.099054471727623,5.7520908086656995e-74,2.3578133551044495e-73,298.1483004667268,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09526624779157776,0.0,0.0
40.0,4.099363617380471,-2.4747285057396358e-83,-1.01448119993234e-82,298.14830099085265,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09518973387251572,0.0,0.0
41.0,4.099658855694166,5.206490512335213e-93,2.134483493598271e-92,298.1483015148168,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09511313075860361,0.0,0.0
42.0,4.099941671378751,-3.6804286447285294e-103,-1.508954276905852e-102,298.1483020386192,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09503695990010749,0.0,0.0
43.0,4.100213201953563,3.849283864845252e-114,1.5782884520705336e-113,298.1483025622599,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09496148852100103,0.0,0.0
44.0,4.100474350759503,-8.083505891686063e-121,-3.3146208573072026e-120,298.1483030857389,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.094886865192432,0.0,0.0
45.0,4.10072585622439,1.2982700964076384e-127,5.323849752701734e-127,298.1483036090564,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09481318058847185,0.0,0.0
46.0,4.100968338473939,-1.606089601088303e-134,-6.586522602815369e-134,298.1483041322124,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09474049740737994,0.0,0.0
47.0,4.10120232728735,1.544467707674319e-141,6.334174557134076e-141,298.1483046552069,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09466886448236038,0.0,0.0
48.0,4.1014282833563485,-1.1609168769806826e-148,-4.761417313874294e-148,298.1483051780399,0.0949407750996252,0.9488206114894456,0.3876759346217577,0.09459832396876161,0.0,0.0
49.0,4.099585692226525,1.9159480680570637,7.854593286855791,298.14828157277583,0.09523154831286802,0.9488169993998401,0.38886814697460537,0.09553450692237064,10.891592912872527,39.2097344863411
50.0,4.101662441605872,0.08906874359359543,0.365329920318874,298.1482590598225,0.09550999319768089,0.9488135404571716,0.39000979688107434,0.09452605819330681,0.6183656629751563,2.2261163867105624
51.0,4.1019629079674464,9.107874321542201e-10,3.7360162637395284e-09,298.14825849886546,0.09552236362348872,0.9488133867872858,0.39006053710571587,0.09441728426408894,0.0,0.0
52.0,4.102164670774831,-1.5814212747618723e-35,-6.48725048293985e-35,298.1482590359355,0.09552236362348872,0.9488133867872858,0.39006053710571587,0.09435232475822514,0.0,0.0
